v4	2\*3plPastprog	
v4	2\*3sgPreInd	
v4	2\*3plImpComp	
v4	partOblig	
v4	3sgPreparfNeg	
v4	partPas	
v4	1plPreSubjNeg	
v4	2sgPreIndNeg	
v4	1plPastprog	
v4	1plPreSubj	
v4	1sgImpCompNeg	
v4	1sgPreterit	
v4	2sgImpComp	
v4	2plPastprog	
v4	2plPreparfNegFam	
v4	1sgImpComp	
v4	3plPreSubjNeg	
v4	\*10\*inf	
v4	3sgImpCompNeg	
v4	2sgPreSubj	
v4	1plPreInd	
v4	2sgImpCompNeg	
v4	2plPastprogNeg	
v4	2sgPreInd	
v4	2\*3plPreteritNegFam	
v4	1sgPreteritNeg	
v4	2\*3plPastprogFam	
v4	partPres	
v4	3plPreparfFam	
v4	3sgPreparfFam	
v4	2plPreteritNeg	
v4	3sgPreSubjNegFam	
v4	ProhibNorm	
v4	3sgPreSubjNeg	
v4	2plPreparfFam	
v4	2sgPreSubjNeg	
v4	2plPreparfNeg	
v4	1plImpCompNeg	
v4	3sgPreparfNegFam	
v4	3sgPreSubjFam	
v4	infApocope	
v4	2\*3sgPastprog	
v4	2\*3plPastprogNegFam	
v4	1plPreparfNegFam	
v4	3sgPastprogNeg	
v4	1plPreparf	
v4	1plPreterit	
v4	1sgPreparfNegFam	
v4	gerPres	
v4	2plImpCompNeg	
v4	3plPreparfNeg	
v4	2\*3plPreterit	
v4	3sgPreIndNegFam	
v4	1sgPreparfNeg	
v4	ProhibNormForm	
v4	2sgPastprogNeg	
v4	2sgPreteritNeg	
v4	1sgPreparf	
v4	2sgPreparf	
v4	1sgPreSubjNeg	
v4	ProhibNormFormpl	
v4	1sgPreSubj	
v4	2\*3plPreIndNegFam	
v4	1sgPreInd	
v4	3plPastprogNeg	
v4	2sgPreterit	
v4	2plPreSubj	
v4	3plPreIndNeg	
v4	3sgPreparf	
v4	2plPreInd	
v4	1sgPreIndNeg	
v4	1plPreparfFam	
v4	3plPreparf	
v4	1sgPreparfFam	
v4	3sgPreIndNeg	
v4	2\*3plPreparfNegFam	
v4	1plPreIndNeg	
v4	2\*3plPreSubjNegFam	
v4	2plPreIndNeg	
v4	2plPreparf	
v4	imperNormpl	
v4	imperNorm	
v4	1plPreteritNeg	
v4	3sgImpComp	
v4	3plImpCompNeg	
v4	1plPreparfNeg	
v4	3plPreparfNegFam	
v4	2sgPreparfNegFam	
v4	2\*3plPreparfFam	
v4	ProhibNormpl	
v4	1sgPastprog	
v4	1plImpComp	
v4	3plPreteritNeg	
v4	2\*3sgPreSubj	
v4	2\*3plPreInd	
v4	2\*3plPreSubj	
v4	2\*3plPreIndFam	
v4	3sgPreteritNeg	
v4	2\*3plPreteritFam	
v4	3sgPreIndFam	
v4	2\*3plImpCompNeg	
v4	partPasNeg	
v4	2\*3sgPreterit	
v4	2sgPreparfNeg	
v4	1sgPastprogNeg	
v4	2plPreSubjNeg	
v4	3plImpComp	
v4	2plImpComp	
v4	2plPreterit	
v4	2\*3plPreSubjFam	
v4	1plPastprogNeg	
v4	2sgPastprog	
v4	2sgPreparfFam	
v21	2\*3plPastprog	
v21	2\*3sgPreInd	
v21	2\*3plImpComp	
v21	partOblig	
v21	3sgPreparfNeg	
v21	partPas	
v21	1plPreSubjNeg	
v21	2sgPreIndNeg	
v21	1plPastprog	
v21	1plPreSubj	
v21	1sgImpCompNeg	
v21	1sgPreterit	
v21	2sgImpComp	
v21	2plPastprog	
v21	2plPreparfNegFam	
v21	1sgImpComp	
v21	3plPreSubjNeg	
v21	\*10\*inf	
v21	3sgImpCompNeg	
v21	2sgPreSubj	
v21	1plPreInd	
v21	2sgImpCompNeg	
v21	2plPastprogNeg	
v21	2sgPreInd	
v21	2\*3plPreteritNegFam	
v21	1sgPreteritNeg	
v21	2\*3plPastprogFam	
v21	partPres	
v21	3plPreparfFam	
v21	3sgPreparfFam	
v21	2plPreteritNeg	
v21	3sgPreSubjNegFam	
v21	ProhibNorm	
v21	3sgPreSubjNeg	
v21	2plPreparfFam	
v21	2sgPreSubjNeg	
v21	2plPreparfNeg	
v21	1plImpCompNeg	
v21	3sgPreparfNegFam	
v21	3sgPreSubjFam	
v21	infApocope	
v21	2\*3sgPastprog	
v21	2\*3plPastprogNegFam	
v21	1plPreparfNegFam	
v21	3sgPastprogNeg	
v21	1plPreparf	
v21	1plPreterit	
v21	1sgPreparfNegFam	
v21	gerPres	
v21	2plImpCompNeg	
v21	3plPreparfNeg	
v21	2\*3plPreterit	
v21	3sgPreIndNegFam	
v21	1sgPreparfNeg	
v21	ProhibNormForm	
v21	2sgPastprogNeg	
v21	2sgPreteritNeg	
v21	1sgPreparf	
v21	2sgPreparf	
v21	1sgPreSubjNeg	
v21	ProhibNormFormpl	
v21	1sgPreSubj	
v21	2\*3plPreIndNegFam	
v21	1sgPreInd	
v21	3plPastprogNeg	
v21	2sgPreterit	
v21	2plPreSubj	
v21	3plPreIndNeg	
v21	3sgPreparf	
v21	2plPreInd	
v21	1sgPreIndNeg	
v21	1plPreparfFam	
v21	3plPreparf	
v21	1sgPreparfFam	
v21	3sgPreIndNeg	
v21	2\*3plPreparfNegFam	
v21	1plPreIndNeg	
v21	2\*3plPreSubjNegFam	
v21	2plPreIndNeg	
v21	2plPreparf	
v21	imperNormpl	
v21	imperNorm	
v21	1plPreteritNeg	
v21	3sgImpComp	
v21	3plImpCompNeg	
v21	1plPreparfNeg	
v21	3plPreparfNegFam	
v21	2sgPreparfNegFam	
v21	2\*3plPreparfFam	
v21	ProhibNormpl	
v21	1sgPastprog	
v21	1plImpComp	
v21	3plPreteritNeg	
v21	2\*3sgPreSubj	
v21	2\*3plPreInd	
v21	2\*3plPreSubj	
v21	2\*3plPreIndFam	
v21	3sgPreteritNeg	
v21	2\*3plPreteritFam	
v21	3sgPreIndFam	
v21	2\*3plImpCompNeg	
v21	partPasNeg	
v21	2\*3sgPreterit	
v21	2sgPreparfNeg	
v21	1sgPastprogNeg	
v21	2plPreSubjNeg	
v21	3plImpComp	
v21	2plImpComp	
v21	2plPreterit	
v21	2\*3plPreSubjFam	
v21	1plPastprogNeg	
v21	2sgPastprog	
v21	2sgPreparfFam	
N2	SingPers2s	c
N2	SingPers2s	v
N2	SingPers2s	o
N2	Sing	
N2	SingPers3p	c
N2	SingPers3p	v
